id,name,definition,synonyms_exact,alt_ids,subsets,xrefs,replaced_by,consider
MONDO:0000001,disease,A disease is a disposition to undergo pathological processes that exists in an organism because of one or more disorders in that organism.,"condition|disease|disease or disorder|disease or disorder, non-neoplastic|diseases|diseases and disorders|disorder|disorders|medical condition|other disease",,"ordo_disorder {source=""Orphanet:377788""}","DOID:4 {source=""MONDO:equivalentTo"", source=""EFO:0000408""}|ICD9:799.9 {source=""MONDO:relatedTo"", source=""MONDO:i2s""}|MEDGEN:4347 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|MESH:D004194 {source=""MONDO:equivalentTo"", source=""DOID:4"", source=""EFO:0000408""}|NCIT:C2991 {source=""MONDO:equivalentTo"", source=""DOID:4""}|OGMS:0000031 {source=""MONDO:equivalentTo""}|Orphanet:377788 {source=""MONDO:equivalentTo""}|SCTID:64572001 {source=""MONDO:equivalentTo"", source=""DOID:4"", source=""EFO:0000408""}|UMLS:C0012634 {source=""MEDGEN:4347"", source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}",,
MONDO:0000004,adrenocortical insufficiency,"An endocrine or hormonal disorder that occurs when the adrenal cortex does not produce enough of the hormone cortisol and in some cases, the hormone aldosterone. It may be due to a disorder of the adrenal cortex (Addison's disease or primary adrenal insufficiency) or to inadequate secretion of ACTH by the pituitary gland (secondary adrenal insufficiency).",adrenal cortical hypofunction|adrenal cortical insufficiency|adrenal gland insufficiency|adrenal insufficiency|adrenocortical insufficiency|corticoadrenal insufficiency|hypocortisolemia|hypocortisolism,,"otar {source=""MONDO:OTAR""}","DOID:10493 {source=""MONDO:equivalentTo""}|EFO:0009491 {source=""MONDO:equivalentTo"", source=""MONDO:EFO""}|icd11.foundation:733056203 {source=""MONDO:equivalentTo""}|ICD9:255.4 {source=""MONDO:equivalentTo"", source=""MONDO:i2s"", source=""DOID:10493""}|ICD9:255.41 {source=""MONDO:relatedTo"", source=""MONDO:i2s""}|MEDGEN:589758 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|MESH:D000309 {source=""MONDO:equivalentTo""}|NCIT:C26691 {source=""MONDO:equivalentTo"", source=""DOID:10493""}|SCTID:386584007 {source=""MONDO:equivalentTo"", source=""DOID:10493""}|UMLS:C0405580 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN"", source=""MEDGEN:589758""}",,
MONDO:0000005,"alopecia, isolated",,,,"gard_rare {source=""MONDO:GARD""}|rare","OMIMPS:203655 {source=""MONDO:equivalentTo""}",,
MONDO:0000009,"inherited bleeding disorder, platelet-type",,"bleeding disorder, platelet-type",,"gard_rare {source=""MONDO:GARD""}|otar {source=""MONDO:OTAR""}|rare","DOID:2218 {source=""MONDO:equivalentTo""}|MEDGEN:610 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|OMIMPS:231200 {source=""MONDO:equivalentTo""}|UMLS:C0005818 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN"", source=""MEDGEN:610""}",,
MONDO:0000014,"colorblindness, partial",,,,"gard_rare {source=""MONDO:GARD""}|obsoletion_candidate|rare",,,
MONDO:0000015,classic complement early component deficiency,"A genetic deficiency of any early component of the classical pathway (C1q, C1r/s, C2, C4, and C3) that is associated with autoimmune diseases due to the failure of clearance of immune complexes (IC) and apoptotic materials, and the impairment of normal humoral response.",genetic deficiency of early component of the classical complement pathway,,"gard_rare {source=""GARD:9526"", source=""MONDO:GARD""}|nord_rare {source=""MONDO:NORD""}|rare","GARD:9526 {source=""MONDO:GARD""}|ICD9:279.8 {source=""MONDO:relatedTo"", source=""MONDO:i2s""}|MEDGEN:226929 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|SCTID:363009005 {source=""MONDO:equivalentTo""}|UMLS:C1285186 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN"", source=""MEDGEN:226929""}",,
MONDO:0000022,nocturnal enuresis,Urination during sleep.,"bedwetting|enuresis, nocturnal|sleep enuresis",,,"icd11.foundation:1048673005 {source=""MONDO:equivalentTo""}|MEDGEN:124355 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|MESH:D053206 {source=""MONDO:equivalentTo""}|NCIT:C118172 {source=""MONDO:equivalentTo""}|UMLS:C0270327 {source=""MEDGEN:124355"", source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}",,
MONDO:0000023,infantile liver failure,,"fever-associated acute infantile liver failure syndrome|infantile liver failure syndrome|liver failure, infantile",,"gard_rare {source=""GARD:17820"", source=""MONDO:GARD""}|nord_rare {source=""MONDO:NORD""}|ordo_disorder {source=""Orphanet:464724""}|orphanet_rare {source=""Orphanet:464724""}|otar {source=""MONDO:OTAR""}|rare","DOID:0080716 {source=""MONDO:equivalentTo""}|GARD:17820 {source=""MONDO:GARD""}|MEDGEN:1813021 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|OMIMPS:615438 {source=""MONDO:equivalentTo""}|Orphanet:464724 {source=""MONDO:equivalentTo""}|UMLS:C5681094 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN"", source=""MEDGEN:1813021""}",,
MONDO:0000030,familial sleep-related hypermotor epilepsy,An instance of sleep-related hypermotor epilepsy that is caused by an inherited genomic modification in an individual.,"epilepsy, nocturnal frontal lobe, familial|familial sleep-related hyperkinetic epilepsy|familial sleep-related hypermotor epilepsy|https://w3id.org/information-resource-registry/clingen|famillial SHE",,"clingen {source=""MONDO:CLINGEN""}|gard_rare {source=""MONDO:GARD""}|otar {source=""MONDO:OTAR""}|rare","MEDGEN:1865268 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|OMIMPS:600513 {source=""MONDO:equivalentTo""}|UMLS:C5577629 {source=""MEDGEN:1865268"", source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}",,
MONDO:0000032,"febrile seizures, familial",,"seizures, familial febrile",,"otar {source=""MONDO:OTAR""}","DOID:0111297 {source=""MONDO:equivalentTo""}|OMIMPS:121210 {source=""MONDO:equivalentTo""}",,
MONDO:0000044,hereditary hypophosphatemic rickets,"Hypophosphatemic rickets is a group of genetic diseases characterized by hypophosphatemia, rickets, and normal serum levels of calcium.",hereditary hypophosphatemic rickets,,"disease_grouping|gard_rare {source=""GARD:6735"", source=""MONDO:GARD""}|nord_rare {source=""MONDO:NORD""}|ordo_group_of_disorders {source=""Orphanet:437""}|otar {source=""MONDO:OTAR""}|rare","GARD:6735 {source=""MONDO:GARD""}|ICD10CM:E83.3 {source=""Orphanet:437/inclusion"", source=""Orphanet:437/ntbt"", source=""MONDO:relatedTo"", source=""Orphanet:437""}|icd11.foundation:1010293846 {source=""Orphanet:437"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0002-4142-7153""}|MedDRA:10060873 {source=""Orphanet:437"", source=""Orphanet:437/e""}|OMIMPS:193100 {source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0002-6601-2165""}|Orphanet:437 {source=""MONDO:equivalentTo""}",,
MONDO:0000045,"hypothyroidism, congenital, nongoitrous",,,,"gard_rare {source=""MONDO:GARD""}|nord_rare {source=""MONDO:NORD""}|otar {source=""MONDO:OTAR""}|rare","OMIMPS:275200 {source=""MONDO:equivalentTo""}",,
MONDO:0000050,isolated congenital growth hormone deficiency,,congenital IGHD|congenital isolated GH deficiency|congenital isolated growth hormone deficiency|familial isolated growth hormone deficiency|ICGHD|IGHD|isolated growth hormone deficiency,,"gard_rare {source=""GARD:12556"", source=""MONDO:GARD""}|nord_rare {source=""MONDO:NORD""}|ordo_disorder {source=""Orphanet:631""}|orphanet_rare {source=""Orphanet:631""}|otar {source=""MONDO:OTAR""}|rare","DOID:0060870 {source=""MONDO:equivalentTo""}|GARD:12556 {source=""MONDO:GARD""}|icd11.foundation:936501166 {source=""https://orcid.org/0009-0001-6494-4831"", source=""MONDO:equivalentTo""}|MedDRA:10035083 {source=""Orphanet:631"", source=""Orphanet:631/e""}|MEDGEN:1843308 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|NANDO:2200317 {source=""MONDO:NANDO"", source=""https://orcid.org/0000-0003-0011-764X"", source=""https://orcid.org/0000-0002-0170-9172""}|OMIMPS:262400 {source=""MONDO:equivalentTo""}|Orphanet:631 {source=""DOID:0060870"", source=""MONDO:equivalentTo""}|SCTID:2109003 {source=""MONDO:equivalentTo""}|UMLS:C5679572 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN"", source=""MEDGEN:1843308""}",,
MONDO:0000060,microcephalic osteodysplastic primordial dwarfism,,,,"gard_rare {source=""MONDO:GARD""}|otar {source=""MONDO:OTAR""}|rare",,,
MONDO:0000062,isolated microphthalmia,A microphthalmia that is not part of a larger syndrome.,"microphthalmia, isolated|nonsyndromic microphthalmia",,"otar {source=""MONDO:OTAR""}","DOID:0080637 {source=""MONDO:equivalentTo""}|OMIMPS:251600 {source=""MONDO:equivalentTo""}",,
MONDO:0000065,"microvascular complications of diabetes, susceptibility",,microvascular complications of diabetes,,predisposition,"OMIMPS:603933 {source=""MONDO:equivalentTo""}",,
MONDO:0000066,mitochondrial respiratory chain complex deficiency,"A mitochondrial energy metabolism disorder where respiratory complex (I–V) is dysfunctional, typically due to mutations in genes encoding that specific complex’s proteins or assembly factors.",isolated oxidative phosphorylation complex disorder|mitochondrial complex deficiency,,"gard_rare {source=""MONDO:GARD""}|ordo_group_of_disorders {source=""Orphanet:254846""}|otar {source=""MONDO:OTAR""}|rare","MEDGEN:1843270 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|Orphanet:254846 {source=""MONDO:equivalentTo""}|UMLS:C5679632 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN"", source=""MEDGEN:1843270""}",,
MONDO:0000070,"Mycobacterium tuberculosis, susceptibility",,"Mycobacterium tuberculosis, susceptibility to|Mycobacterium tuberculosis, susceptibility to infection by",,"omim_susceptibility {source=""OMIM:607948""}|predisposition","MESH:C536092 {source=""MONDO:equivalentTo""}|OMIM:607948 {source=""GARD:0002456"", source=""MONDO:equivalentTo""}",,
MONDO:0000078,acrocephalopolysyndactyly,A common presentation of craniosynostosis and polysyndactyly.,ACPS,,"gard_rare {source=""MONDO:GARD""}|otar {source=""MONDO:OTAR""}|rare","MEDGEN:673840 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|SCTID:205260006 {source=""MONDO:equivalentTo""}|UMLS:C0687154 {source=""MEDGEN:673840"", source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}",,
MONDO:0000079,"nephrolithiasis/osteoporosis, hypophosphatemic",,,,"gard_rare {source=""MONDO:GARD""}|nord_rare {source=""MONDO:NORD""}|rare","DOID:0080655 {source=""MONDO:equivalentTo""}|OMIMPS:612286 {source=""MONDO:equivalentTo""}",,
MONDO:0000082,pelvic organ prolapse,"Abnormal descent of a pelvic organ resulting in the protrusion of the organ beyond its normal anatomical confines. Symptoms often include vaginal discomfort, dyspareunia; urinary stress incontinence; and fecal incontinence.",,,"otar {source=""MONDO:OTAR""}","EFO:0004710 {source=""MONDO:equivalentTo"", source=""MONDO:EFO""}|icd11.foundation:148580117 {source=""MONDO:equivalentTo""}|MEDGEN:209090 {source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}|MESH:D056887 {source=""EFO:0004710"", source=""MONDO:equivalentTo""}|SCTID:237113009 {source=""EFO:0004710"", source=""MONDO:equivalentTo""}|UMLS:C0877015 {source=""MEDGEN:209090"", source=""MONDO:equivalentTo"", source=""MONDO:MEDGEN""}",,
