id,name,definition,synonyms_exact,alt_ids,subsets,xrefs,replaced_by,consider
UBERON:0000000,processual entity,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,,common_anatomy|upper_level,BFO:0000003,,
UBERON:0000002,uterine cervix,"Lower, narrow portion of the uterus where it joins with the top end of the vagina.",canalis cervicis uteri|caudal segment of uterus|cervical canal of uterus|cervix uteri|neck of uterus|uterine cervix,,efo_slim|human_reference_atlas|pheno_slim|uberon_slim,"BTO:0001421|BTO:0002249|CALOHA:TS-0134|EFO:0000979|EMAPA:29927|EV:0100114|FMA:17740|GAID:376|galen:CervixUteri|MA:0000392|MAT:0000292|MESH:D002584|NCIT:C12311|SCTID:181453009|UMLS:C0007874 {source=""ncithesaurus:Cervix""}|VHOG:0001359|Wikipedia:Cervix",,
UBERON:0000003,naris,Orifice of the olfactory system. The naris is the route by which odorants enter the olfactory system[MAH].,,,uberon_slim|vertebrate_core,AAO:0000311|EHDAA2:0001225|EHDAA:9083|EMAPA:17847|galen:Naris|MA:0000282|SCTID:272650008|VHOG:0000663,,
UBERON:0000004,nose,"The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.",nasal sac|nose|peripheral olfactory organ,,efo_slim|major_organ|pheno_slim|uberon_slim|vertebrate_core,"BTO:0000840|CALOHA:TS-2037|EHDAA2:0001274|EHDAA:1502|EMAPA:16542|EV:0100037|EV:0100370|FMA:46472|GAID:77|galen:Nose|MA:0000281|MAT:0000139|MESH:D009666|MIAA:0000139|NCIT:C12756|SCTID:181195007|TAO:0000047|UMLS:C0028429 {source=""ncithesaurus:Nose""}|Wikipedia:Nose|ZFA:0000047",,
UBERON:0000005,chemosensory organ,,chemosensory sensory organ,,functional_classification|uberon_slim,"FBbt:00005157 {sssom:mapping_justification=""https://w3id.org/semapv/vocab/ManualMappingCuration""}",,
UBERON:0000006,islet of Langerhans,The clusters of hormone-producing cells that are scattered throughout the pancreas.,pancreatic insula|pancreatic islet,,efo_slim|human_reference_atlas|pheno_slim|uberon_slim,"AAO:0010406|BTO:0000991|CALOHA:TS-0741|EFO:0000856|EMAPA:32927|EV:0100130|FMA:16016|GAID:324|MA:0000127|MAT:0000076|MESH:D007515|MIAA:0000076|NCIT:C12608|UMLS:C0022131 {source=""ncithesaurus:Islet_of_Langerhans""}|VHOG:0000646|Wikipedia:Islets_of_Langerhans|XAO:0000159",,
UBERON:0000007,pituitary gland,The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands [GO]. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin [ZFIN].,glandula pituitaria|pituitary|pituitary body,,efo_slim|organ_slim|pheno_slim|uberon_slim|vertebrate_core,"AAO:0010536|BAMS:PIT|BAMS:Pit|BIRNLEX:1353|BM:Die-Hy-HY|BTO:0001073|CALOHA:TS-0798|DHBA:10505|EFO:0000857|EHDAA2:0001471|EHDAA:2183|EHDAA:4477|EMAPA:35998|EV:0100132|FMA:13889|GAID:457|HBA:4634|MA:0000176|MAT:0000077|MESH:D010902|MIAA:0000077|NCIT:C12399|neuronames:399 {source=""BIRNLEX:1353""}|SCTID:181125003|TAO:0000118|UMLS:C0032005 {source=""ncithesaurus:Pituitary_Gland"", source=""BIRNLEX:1353""}|VHOG:0000143|Wikipedia:Pituitary_gland|XAO:0000017|ZFA:0000118",,
UBERON:0000009,submucosa,"A layer of dense irregular connective tissue that lines organs and supports the mucosa, as well as joins the mucosa to the bulk of underlying smooth muscle. [WP,unvetted].",organ submucosa|region of submucosa|submucosa of organ|submucosa of region of organ,,pheno_slim|uberon_slim,"BTO:0002107|FMA:85391|FMA:85392|NCIT:C13167|SCTID:68439008|UMLS:C0225344 {source=""ncithesaurus:Submucosa""}|Wikipedia:Submucosa",,
UBERON:0000010,peripheral nervous system,"A major division of the nervous system that contains nerves which connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands.",pars peripherica|systema nervosum periphericum,,cumbo|efo_slim|human_reference_atlas|pheno_slim|uberon_slim|vertebrate_core,"AAO:0000429|BAMS:PNS|BILA:0000081|BIRNLEX:1111|BTO:0001028|CALOHA:TS-0808|EFO:0000891|EHDAA2:0001445|EHDAA:2893|EMAPA:16665|EV:0100335|FBbt:00005098 {sssom:mapping_justification=""https://w3id.org/semapv/vocab/ManualMappingCuration""}|FMA:9903|GAID:715|MA:0000218|MAT:0000338|MESH:D017933|MIAA:0000338|NCIT:C12465|neuronames:3232|SCTID:362292005|TAO:0000142|UMLS:C0206417 {source=""ncithesaurus:Peripheral_Nervous_System"", source=""BIRNLEX:1111""}|UMLS:C1305921 {source=""BIRNLEX:1111""}|VHOG:0000399|Wikipedia:Peripheral_nervous_system|XAO:0000178|ZFA:0000142",,
UBERON:0000011,parasympathetic nervous system,"The parasympathetic nervous system is one of the two divisions of the vertebrate autonomic nervous system. Parasympathetic nerves emerge cranially as pre ganglionic fibers from oculomotor, facial, glossopharyngeal and vagus and from the sacral region of the spinal cord. Most neurons are cholinergic and responses are mediated by muscarinic receptors. The parasympathetic system innervates, for example: salivary glands, thoracic and abdominal viscera, bladder and genitalia[GO].",parasympathetic part of autonomic division of nervous system|pars parasympathica divisionis autonomici systematis nervosi|PNS - parasympathetic,,efo_slim|pheno_slim|uberon_slim|vertebrate_core,"AAO:0010488|BIRNLEX:2517|BTO:0001833|CALOHA:TS-2094|EFO:0000894|EHDA:10096|EHDAA2:0001402|EHDAA:4655|EMAPA:17270|FMA:9907|GAID:708|MA:0000223|MAT:0000101|MESH:D010275|MIAA:0000101|NCIT:C12764|SCTID:362496006|TAO:0001575|UMLS:C0030510 {source=""BIRNLEX:2517"", source=""ncithesaurus:Parasympathetic_Nervous_System""}|UMLS:C1305770 {source=""BIRNLEX:2517""}|VHOG:0000755|Wikipedia:Parasympathetic_nervous_system|ZFA:0001575",,
