time,node_rank,rank,local_rank,epoch,batch_index,num_batches,update_step,should_step,lr,loss_total,loss_gep,loss_zero_prob,loss_gepc,loss_gepc_zero_prob,step_ms,data_load_s,to_device_s,forward_s,loss_s,backward_s,optimizer_s,grad_sync_s,samples_per_s,tokens_per_s,mfu,grad_norm_raw,grad_norm_ema,grad_clip_threshold,grad_skip_threshold,grad_skip_max,grad_hard_raw_norm_limit,grad_ema_contribution_cap,grad_action,skipped,skipped_count_cum,clipped_count_cum,consecutive_skips,consecutive_clips,cluster_loss_total_mean,cluster_loss_total_min,cluster_loss_total_max,cluster_step_ms_mean,cluster_step_ms_max,cluster_data_load_s_max,cluster_grad_sync_s_max,cluster_samples_per_s_sum,cluster_tokens_per_s_sum
2026-05-24T22:33:35,0,0,0,1,1,37408,1,True,5.3475935828877003e-11,380.0410461425781,180.7550506591797,0.7000970244407654,195.9475555419922,2.638345956802368,792048.5408306122,634.648472070694,0.0013346672058105469,0.38294076919555664,0.7682199478149414,0.2122347354888916,16.377729177474976,0,0.6464250277679592,413.71201777149383,,105712.3046875,105712.3046875,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,1,0,1,402.7510986328125,358.8436584472656,444.5177917480469,792047.4166666666,792059.0625,750.1267700195312,0.0,15.514223098754883,9929.103515625
2026-05-24T22:33:39,0,0,0,1,2,37408,2,True,1.0695187165775401e-10,,,,,,3520.052194595337,634.648472070694,0.0003139972686767578,0.05248403549194336,0.8268768787384033,0.09968996047973633,2.515362024307251,0,145.45238868506584,93089.52875844215,,110380.171875,105805.66203125,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,2,0,2,,,,,,,,,
2026-05-24T22:33:42,0,0,0,1,3,37408,3,True,1.6042780748663102e-10,,,,,,3787.867546081543,634.648472070694,0.0003077983856201172,0.047698020935058594,0.826439380645752,0.09658956527709961,2.815270185470581,0,135.16840115744057,86507.77674076197,,106439.5625,105818.34004062501,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,3,0,3,,,,,,,,,
2026-05-24T22:33:46,0,0,0,1,4,37408,4,True,2.1390374331550801e-10,,,,,,3588.7606143951416,634.648472070694,0.0003123283386230469,0.04685688018798828,0.8268067836761475,0.09547185897827148,2.617809534072876,0,142.66763794338334,91307.28828376533,,107396.6484375,105849.90620856252,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,4,0,4,,,,,,,,,
2026-05-24T22:33:49,0,0,0,1,5,37408,5,True,2.67379679144385e-10,,,,,,3491.7938709259033,634.648472070694,0.00030350685119628906,0.04886794090270996,0.8254866600036621,0.0951695442199707,2.520400047302246,0,146.6295030365682,93842.88194340366,,110028.0703125,105933.46949064126,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,5,0,5,,,,,,,,,
2026-05-24T22:33:53,0,0,0,1,6,37408,6,True,3.2085561497326203e-10,,,,,,3490.718364715576,634.648472070694,0.0003037452697753906,0.050049543380737305,0.8241021633148193,0.09558391571044922,2.5191781520843506,0,146.67468025359238,93871.79536229912,,106095.96875,105936.71947582843,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,6,0,6,,,,,,,,,
2026-05-24T22:33:56,0,0,0,1,7,37408,7,True,3.7433155080213903e-10,,,,,,3490.5946254730225,634.648472070694,0.00027871131896972656,0.04701733589172363,0.8266308307647705,0.09597229957580566,2.5191590785980225,0,146.6798797728101,93875.12305459846,,105786.6796875,105933.71868006187,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,7,0,7,,,,,,,,,
2026-05-24T22:34:00,0,0,0,1,8,37408,8,True,4.2780748663101603e-10,,,,,,3490.490436553955,634.648472070694,0.0003056526184082031,0.04758167266845703,0.8262910842895508,0.09330415725708008,2.521354913711548,0,146.6842580739114,93877.9251673033,,108037.78125,105975.79993146063,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,8,0,8,,,,,,,,,
2026-05-24T22:34:03,0,0,0,1,9,37408,9,True,4.81283422459893e-10,,,,,,3492.398738861084,634.648472070694,0.00028896331787109375,0.046994686126708984,0.8271009922027588,0.09610629081726074,2.5203964710235596,0,146.60410745852283,93826.62877345462,,102869.5390625,105913.67471408141,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,9,0,9,,,,,,,,,
2026-05-24T22:34:07,0,0,0,1,10,37408,10,True,5.3475935828877e-10,,,,,,3628.8726329803467,634.648472070694,0.00033736228942871094,0.04731392860412598,0.8269803524017334,0.10002565383911133,2.652726173400879,0,141.09065039835826,90298.0162549493,,109115.21875,105977.70559479979,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,10,0,10,,,,,,,,,
